file_name,work_experience,education,skills,year_experience,category,overall_score,job_description
resume25.pdf,"[{""description"":""Leads a new management team charged with turning around and expanding the foreign operations of this LED products manufacturing company operating in several countries throughout Europe, Latin America, Asia, the Middle East and North America. Holds full accountability for leading 5 manufacturing operations and several distribution facilities with a $30 million R&D budget. Works with foreign government officials; negotiates/manages capital projects to $55million. Executed a strategic manufacturing revitalization initiative which reduced the time required to bring both new and existing products to market streamlined work processes. Introduced new production-line technology and launched a Six Sigma initiative resulting in a $5 million savings. Augmented business model by transitioning manufacturing from a cost-driven product development focus to a quality-driven operation."",""title"":""Vice President""},{""description"":""Directed all activity for the Customer Service Support department. Implemented Oracle CRM as leading project manager. Held full P&L responsibility for a $30 million service business. Exceeded revenue and profit targets on a quarterly basis. Managed Field Service, Call Center, Technical Support, and Training departments. Championed full automation of the service department which resulted in improved customer satisfaction. Introduced new training philosophy and oversaw implementation of World Class Training Center. Oversaw revamp of service contribution to Product Launch, greatly improving new product performance. Oversaw implementation of Customer Web Portal. Oracle 11i I store; resulted in increased parts revenue and customer satisfaction."",""title"":""Senior Director of Customer Service""},{""description"":""Accountable for all aspects of Order Management which had a monthly throughput of $25 million. Responsible for efficient delivery and installation of all products in North America. Facilitated creation of a seamless quote to cash process with full implementation of Oracle 11i. Directly resulted in shortened order cycle time. Administered system of quality control and measurements which resulted in internal/external customer satisfaction. Led projects to setup third-party installers across country for improved coverage and expedient turnaround. Rendered a process for real-time tracking/monitoring of all installs. Oversaw entire service department upon appointment by company president. Resulted in decreasing average call center handling time to 20 seconds or less and improvement of customer satisfaction survey ratings to an 8.5 average on a 10 point scale."",""title"":""Senior Director of Customer Care""},{""description"":""Responsible for overall growth, profitability and quality of International service operations, including 6 subsidiaries and a network of about two hundred dealers. The service business was $27 million ($17 million customer/$10 million internal). Developed all standard reporting measurements to quantify service business and traveled internationally to audit all locations. Managed successful implementation of the CPO rebuild program. Realigned the international service management team into a strong cohesive unit in order to drive future increases in customer satisfaction and financial growth. Increased the customer paid business over 24% each year and the service profitability by over 30% each year. Administered B2B Extranet site. Oversaw customer call center and decreased call wait time by 95% Established Service Level Agreements/Contracts for improved customer support."",""title"":""Director of Customer Service""},{""description"":""Directed all activities of 22 field engineers in providing service and support for all ARJO, Century and vendor products sold through 55 nationwide sales centers; reported directly to the Vice President of service and technical support. Pioneered various service enhancements which directly led to increased sales and customer satisfaction. Developed and implemented all service and repair parts marketing programs. Directed the development of Systems for multi-product support and realized significant cost savings. Contributed to the development and improvement of service systems to manage service delivery coverage and increase profitability."",""title"":""International Service Director""}]","[{""Gpa"": ""GPA: 3.85"", ""institute"": ""University of Virginia"", ""title"": ""leadership""}, {""Gpa"": ""GPA: 3.85"", ""institute"": ""DeVry Institute of Technology"", ""title"": ""Digital Electronics""}]","[""Strategic"",""Operational"",""Business"",""Financial"",""Planning"",""Quick"",""fervent"",""learner"",""Multi-Site"",""Operations"",""Productivity"",""Enhancement"",""Team"",""building"",""motivation"",""International"",""Sourcing"",""Supply"",""Chain"",""Management"",""Foresighted"",""Fastidious"",""tactician"",""Call"",""center"",""implementation"",""Management"",""High"",""emotional"",""IQ"",""adept"",""communication"",""skills"",""CRM"",""Implementations"",""Calm"",""decisive"",""pressure"",""Customer"",""Vendor"",""Supplier"",""OEM"",""Relationships"",""Technically"",""environmentally"",""adaptable"",""Budgeting"",""Operating"",""Capital"",""Pricing"",""Strategies"",""expert"",""negotiations"",""Costing"",""margin"",""Profit"",""Improvements"",""ROI"",""Experienced"",""public"",""speaker"",""Extensive"",""technical"",""acumen"",""Rigorous"",""work"",""ethic"",""acute"",""problem-solver"",""Senior"",""staff"",""training"",""development"",""Thought"",""leadership""]",23 years,fitness,32,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume9.pdf,"[{""description"":""Spay and neuter clinic. Also provides vaccinations, heart worm prevention, microchipping, heart worm testing, flea and tick prevention, Leukemia/FIV testing, deworming, My responsibilities include assisting the doctor in surgery, answering phones, checking in patients, checking out patients, scheduling appointments, prepping animals for surgery, anesthesia monitoring, packing instruments, cleaning kennels, post-surgical care, administering vaccines and microchips, IV catheter placement, intubating dogs and cats, client education"",""title"":""Veterinary Assistant""},{""description"":""Popular family restaurant chain that serves a variety of food, drink and alcoholic beverages. As a trainer, I was given the opportunity to help open new stores all across the United States. I was also one of the few that was able to teach classrooms to new employees and provide training during their training period."",""title"":""Trainer/Waitress/Bartender/Shift leader""},{""description"":""Full service fitness center. Front desk receptionist. Greet clients. Answer phone."",""title"":""Receptionist""}]","[{""Gpa"": ""3.64"", ""institute"": ""Oklahoma State University-OKC"", ""title"": ""Associate of Applied Science in Veterinary Technology""}, {""Gpa"": ""3.1 "", ""institute"": ""Coweta High School"", ""title"": ""High School Diploma""}]","[""Patient assessment"",""Blood draws"",""Fecal sample analysis"",""Wound care"",""Instrument packing"",""Swine ear notching"",""Surgical set-up and assisting"",""Ovine and caprine ear tagging"",""Anesthetic nursing"",""Parasite identification"",""Blood smears"",""Small and large animal restraining"",""Swine teeth clipping"",""Animal CPCR"",""Swine tail docking"",""Administer microchip"",""Radiology"",""Dentistry"",""Surgical prep"",""Digital X-ray"",""Compound microscope"",""Film X-ray"",""Centrifuge"",""Vaccination set-up and administration"",""Post-surgical care"",""Refractometer reading"",""Ultrasound"",""Anesthetic machine""]",5 years,fitness,22,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume15.pdf,"[{""description"":""Spoke with patrons to ensure satisfaction with food and service Displayed enthusiasm and knowledge about the restaurant's menu and products. Communicated with other kitchen team members to ensure food was prepared on time and correctly."",""title"":""Server""},{""description"":""Provided friendly and attentive service and exceptional hospitality. Set dining tables according to type of event and service standards. Consistently offered professional, friendly and engaging service. Stocked service stations with items such as ice, napkins, and straws."",""title"":""Server""},{""description"":""Promoted club programs, products and services to participants Trained all new sales employees on effective techniques. Listened to customer needs and preferences to provide accurate advice. Corrected dangerous movements and suggested alternate exercises."",""title"":""Front Desk""}]","[{""Gpa"": ""3.4 "", ""institute"": ""Jackson Liberty High School, City, State"", ""title"": ""High School Diploma""}, {""Gpa"": ""3.1 "", ""institute"": ""University of South Florida"", ""title"": ""Associate of Science : Psychology""}, {""Gpa"": ""3.5 "", ""institute"": ""Temple University , City , State"", ""title"": ""Associate of Science : Psychology""}]","[""Superior communication skills"",""Solution-focused counseling"",""Exceptional problem solver"",""Positive attitude""]",5 years,fitness,17,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume47.pdf,"[{""description"":""Instruct group exercise classes to help strengthen and tone body. Demonstrate the correct way to use exercise equipment."",""title"":""Group Exercise Fitness Instructor""},{""description"":""Verified that Information reported on tax returns adheres to applicable tax laws and regulations. Maintained accurate filing system of tax related documents. Updated tax returns made during audit process. Transferred important documents to the appropriate department when requested."",""title"":""Administrator Support Assistant II""},{""description"":""Supervised all nursery ministry staff. Developed reports for Ministry Coordinator and Senior Pastor. Recruited qualified and experienced volunteers. Managed budget for fiscal years of 2001-2008. Trained volunteer staff on how to property meet the demands of the nursery. Supervised monthly staff meetings. Ensured background checks were performed for volunteer"",""title"":""Nursery Director""},{""description"":""Information Processing. Reviewed corrected data for deficiencies, errors and incompatibilities. Applied data program techniques and procedures."",""title"":""Data Entry Operator""}]","[{""Gpa"": ""2.9 "", ""institute"": ""Alabama State University"", ""title"": ""Computer Information System Business Management""}, {""Gpa"": ""3.6 "", ""institute"": ""Huntingdon College"", ""title"": ""Bachelor of Science : Business Management""}]","[""Planning/Coordinating"",""Critical Thinking"",""Team Leadership"",""Experience in Advertising"",""Program Development"",""Excellent Research Skills"",""Experience in Management"",""Accountability"",""Community Outreach"",""Team Building"",""Budget Development"",""Staff Motivation"",""Creative Problem Solving"",""Staff Training"",""Public Relation"",""Employee Scheduling"",""Technologically savvy"",""MS Office Suite"",""Mobile Computing"",""E-Mail Management""]",13 years,fitness,27,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume2.pdf,"[{""description"":""An 8 week course getting trained in fitness classes to instruct group exercises for the on campus gym"",""title"":""Group Fitness Instructor""},{""description"":""Provided children from the grades K-5 a safe and friendly place to be after school hours. Introduced fun and exciting new ways to learn outside of the classroom with student centers and interactive activities. Mentored inner city children in New York City providing them with love and attention."",""title"":""Assistant""}]","[{""Gpa"": ""3.98"", ""institute"": ""Centennial High School"", ""title"": ""Centennial High School""}, {""Gpa"": ""3.7 "", ""institute"": ""Collin College"", ""title"": ""Collin College""}]","[""basic"",""Coach"",""Human Resource"",""Leadership"",""Spanish"",""Teaching"",""Time Management""]",6 years,fitness,16,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume41.pdf,"[{""description"":""Providing nursing leadership and ASC operations guidance to 7 facilities nation- wide including staffing metric and OR efficiency, accreditation preparation, state regulation compliance, infection control, risk management, patient safety, peer review, life safety, governing body and medical quality assurance reporting, quality assurance and performance improvement studies and benchmarking"",""title"":""RN/RN Team Lead""},{""description"":""High acuity step down unit with 1:2 nurse to patient ratio, Post-surgical transplant patients directly from PACU, Post-surgical cancer reconstruction patients directly from PACU, MI, post-cath, chest pain, arrhythmia management, AAA repair, GI bleed, and stroke, Medication drips for blood pressure titration, insulin drips, heparin, angina, alcohol/drug withdrawal, Respiratory distress patients up to ventilation, acute pneumonia, COPD, Lumbar drains, fresh neuro-surgery, fresh GI surgery, Code team participation, Central line use and care, Arterial line, CVP, ICP monitoring and line care, Cardiovascular intensive care interventions, Ventilation and trach care, Treatment for acute MI, Post-surgical cardiovascular care including bypass, cath, and other intensive cardiac care patients, Conscious sedation, insulin, blood pressure, and various other medication drips"",""title"":""CVICU RN w/Med-Surg ICU Float""},{""description"":""Managed and facilitated over 38 fitness and aquatic programs and 28 direct reports, Assisted in the development of a proposal for medically-based wellness that aided in a partnership with a local hospital, funding a 1.8 million dollar expansion, Head swim coach for the Rapids Swim Team, First Aid/CPR & Lifeguard Instructor"",""title"":""Aquatic & Fitness Director""},{""description"":""Developed, implemented and progressed cardiac rehab exercise programs and care, Assisted in cardiac rehabilitation education, Developed and implemented a personal training program, Assisted in corporate wellness programming and health fairs"",""title"":""Exercise Physiologist""}]","[{""Gpa"": ""3.8 "", ""institute"": ""University of Phoenix"", ""title"": ""Master of Science in Nursing/Master of Business Administration""}, {""Gpa"": ""3.7 "", ""institute"": ""Valparaiso University"", ""title"": ""Bachelor of Science in Nursing""}, {""Gpa"": ""3.9 "", ""institute"": ""Ball State University"", ""title"": ""Bachelor of Science in Exercise Science""}]","[""Asc"",""Qa"",""Emr"",""Pharmacy"",""Infection Control"",""Metrics"",""Risk Management"",""Satisfaction"",""Staffing"",""Trading"",""Training"",""Auditing"",""Instrumentation"",""Integration"",""Integrator"",""Medical Device"",""Operations"",""Process Improvement"",""Quality Assurance"",""Rn"",""Icu"",""Critical Care"",""Iep"",""Titration"",""Radiation Safety"",""Rn/"",""Scheduling"",""Team Lead"",""Cpr"",""Instructor"",""Million"",""Increase"",""Medical Assistant"",""Cardiac"",""Cardiovascular"",""Model-view-presenter"",""Mvp"",""Healthcare"",""Acls"",""Award""]",12 years,fitness,48,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume16.pdf,"[{""description"":""Organized storage areas to maximize movement efficiency and minimize labor. Opened and checked deliveries to verify contents and resolve issues with vendors promptly. Prepared accurate shipping orders and bills of lading to direct and route materials. Received and staged incoming inventory for movement to storage or sales floor. Supervised warehouse team, including schedule management, training and task delegation. Kept stockroom free of hazards, working efficiently and properly organized. Investigated inventory discrepancies to maintain recordkeeping validity. Partnered with vendor representatives to rectify damages and shortages. Motivated and encouraged team members to communicate more openly and constructively with each other. Provided excellent service and attention to customers when face-to-face or through phone conversations."",""title"":""Receiving Manager""},{""description"":""Guided team to consistently achieve daily, weekly and monthly goals. Oversaw team of 25+ associates. Maintained consistent daily operations by establishing procedures and monitoring team performance. Assessed each employee's individual strengths and delivered mentoring to improve upon weak skill levels. Identified sales opportunities by analyzing multiple reports to target our lacking departments. Managed special projects through effective emergency resolution. Maintained retail store presentation by overseeing merchandise replenishment, customer courtesy and inquiry response. Motivated employees to share ideas and feedback. Assessed team proficiencies, identifying and targeting areas for improvement. Formed and sustained strategic relationships with vendors. Empowered staff members to contribute to continuous improvement, quality and growth of company by using effective communication and fostering organic relationships. Monitored metrics to verify asset stability. Resolved customer problems by investigating issues, answering questions and building rapport. Prioritized sanitation, safety and health standards in work areas to meet OSHA requirements. Generated repeat business by responding to customer concerns with friendly and knowledgeable service."",""title"":""Closing Store Manager""},{""description"":""Exceeded sales goals and improved profitability by aligning sales strategies and business plans with market trends. Oversaw management and implementation of new revenue strategies, sales initiatives and customer engagement tactics to increase market share. Tracked monthly sales to generate reports for business development planning. Implemented CRM strategy to automate leads management. Created and finalized quotes to complete deals between company, vendors and customers. Developed and implemented new sales strategies to engage a bigger audience. Boosted team morale and overall sales volume by creating employee incentive sales contests. Maintained professional network of potential clients and business opportunities. Generated sales by starting a healthy outreach to local businesses."",""title"":""Assistant General Manager""},{""description"":""Managed company operations with responsibility for profit and loss, scheduling, training and inventory control. Assessed, optimized and elevated operations to target current and expected demands. Received, evaluated and scanned in all new inventory, updated computer database and proactively resolved any variances. Received, checked-in and stocked merchandise throughout store, helped maintain store inventory levels and assisted with orderliness and cleanliness of sales floor and stock room. Replenished inventory to maintain par levels and completed quarterly inventory audits, counted and updated inventory reports upon receipt of new shipments. Secured revenue, accurately monitoring cash intake and maintaining store policy updates to eliminate discrepancies. Directed day-to-day operations by spearheading implementation of short-term and long-term strategies to achieve business plan and profitability goals. Improved morale and management communication by creating employee recognition and rewards practices. Planned daily operational strategies, including delivery routing, team workflows and promotional initiatives. Oversaw financial management activities, including budget management, accounting and payroll. Resolved issues, including challenges regarding circuits, websites and vendors. Trained, mentored and motivated employees to maximize team productivity."",""title"":""Operations Manager""}]","[{""Gpa"": ""3.5 "", ""institute"": ""Chief Sealth International High School"", ""title"": ""High School Diploma""}]","[""Customer service"",""Fluent in Spanish"",""Relationship building"",""Equipment operations"",""Store operations oversight"",""Stockroom organization"",""Staff training and development"",""Processing vendor returns"",""Outstanding communication skills"",""Retail inventory management"",""Maintaining safety"",""Sales floor operations understanding"",""Schedule management"",""Safety standards"",""Operating equipment"",""Problem resolution"",""First Aid/CPR"",""Logistics oversight"",""Mentoring and training"",""Planning production"",""Reliable and trustworthy"",""Working collaboratively"",""Team building""]",7 years,fitness,29,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume42.pdf,"[{""description"":""Privately owned Rehabilitation and Strength & Conditioning center. Work closely with owner and head Chiropractor for movement screening and rehabilitation treatments. Responsibilities include providing members with personal training, group fitness classes, massage therapy, movement assessment, and rehabilitation. Proficient in movement assessment using Functional Movement Screen and Selective Functional Movement Screen. Proficient with Move to Perform software for FMS and rehabilitation."",""title"":""Rehabilitation Specialist / Massage Therapist""},{""description"":""Teach Aqua Bootcamp and Aqua Aerobics. Primary focus of classes is to increase strength and endurance with added mobility framework for each class. Average class size is 20-30 members."",""title"":""Group Fitness Instructor""},{""description"":""Contracted personal trainer at Las Vegas Athletic Clubs. Work with an average of 25 clients per week. Primary focus is movement restoration, functional training, weight loss, and massage therapy. Manage and organize all business operations."",""title"":""Strength Coach/Massage Therapist""},{""description"":""Extraordinary Trainers is a health and wellness network organization made up of fitness and medical professionals in Las Vegas dedicated to providing top quality care to the community. Our team includes Personal Trainers, Chiropractors, Physical Therapists, Massage Therapists, Registered Dietitians, and Health Coaches. Utilizing a team approach, we are able to ensure that our clients get the treatment they deserve while every professionals remains in their scope of practice. We conduct weekly meetings for networking and building private business through teamwork."",""title"":""Co-Founder""},{""description"":""Worked with SPRI at conventions such as IHRSA, Club Industry, and Interbike in Las Vegas. Educated attendees about SPRI products and demonstrated how they are implemented in different training scenarios."",""title"":""Fitness Specialist""},{""description"":""Designed new training programs for members of the gym. Cleaned and maintained all fitness equipment. Gave new member tours of the facility."",""title"":""Wellness Coach""},{""description"":""Prescribed Fitness programs for members of the wellness center. Shadowed in Physical Therapy, Cardiac Rehabilitation, and Orthopedic Surgeries. Designed and completed wellness program using Kinesis equipment for weight loss for future study. Completed 500 internship hours."",""title"":""Wellness Center Internship""}]","[{""Gpa"": ""4.0"", ""institute"": ""Nevada School of Massage Therapy"", ""title"": ""Therapeutic Massage and Bodywork""}, {""Gpa"": ""3.5 "", ""institute"": ""Florida Gulf Coast University"", ""title"": ""Bachelor of Science in Human Performance""}]","[""Microsoft Office (PowerPoint, Word, Excel)"",""Distant learning education"",""Time management"",""Website Development""]",9 years,fitness,36,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume7.pdf,"[{""description"":""Processed applications, payments, corrections, endorsements and cancellations. Submitted up-to-date activity and production logs to agency management for review. Presented and clearly explained insurance policy options to clients based on their needs and goals. Called 20-30A lapsed customers eachA day to inquire about continuing needs. Handled escalated calls. Researched cases, pay by phone, handled vendor return unit calls and also took Supervisor calls. Became a researcher/Supervisor withinA 3 months of start date."",""title"":""Customer Service Representactive""},{""description"":""Recruited an average of 7 new participants each month. Explained exercise modifications and contraindicated movements to participants with a history of injury. Cultivated positive relationships with participants by interacting with them during group fitness classes. Greeted all members in a professional and friendly manner. Developed safe and effective exercise programs for all members. Explained class objectives and rules."",""title"":""Ofice Manager/ Fitness Instructor""},{""description"":""Effectively managed a high-volume of inbound and outbound customer calls. Answered a constant flow of customer calls with up to 30 calls in queue per minute. Acted professionally and patiently when addressing negative customer feedback."",""title"":""Customer Service Associate""},{""description"":""Promoted good behavior by using the positive reinforcement method. Promoted language development skills through reading and storytelling. Assisted the lead teacher with snack time, arts and crafts and putting the children down for naps. Relieved the head teacher and toddler teacher. Dressed children and changed diapers. Communicated regularly with parents about daily activities and behaviors. Offered parents detailed daily reports that outlined their child's day. Maintained daily records of children's individual activities, behaviors, meals and naps. Maintaineda child-friendly environment by allowing frequent access to outdoor activities. Sparked imagination by helping children discover new things each day. Sparked imagination by helping children discover new things each day."",""title"":""Daycare Assistant/ Office Manager""},{""description"":""Effectively managed a high-volume of inbound and outbound customer calls. Answered a constant flow of customer calls with up to 25 calls in queue per minute. Addressed and resolved customer product complaints empathetically and professionally."",""title"":""Customer Service Rep""}]","[{""institute"": ""Branford Hall Career Institute City , State"", ""title"": ""Paralegal Certificate""}]","[""MS Office"",""Accounts payable"",""arts"",""Billing"",""call center"",""communication skills"",""CPR Certified"",""Creative problem solver"",""Credit"",""clients"",""client relations"",""customer service"",""databases"",""fast"",""financial"",""financial planning"",""First Aid"",""access"",""Paralegal"",""Persuasive"",""speaker"",""Quick learner"",""reading"",""strategic"",""teacher"",""phone""]",12 years,fitness,29,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
resume45.pdf,"[{""description"":""Strength and Conditioning 2013, 2014 Personal Health 2014 Guest Speaker: Introduction to Sports Management. January 2014"",""title"":""Guest Lecturer""},{""description"":""Responsible for supervising and/or performing the day to day functions of the Fitness Specialists, Fitness Coaches, Interns, Fitness Consults and overall safety on the fitness floor. Hire, train, and evaluate fitness specialists and interns, compile and report outcome metrics, and monitor quality in all fitness testing aspects."",""title"":""Fitness Supervisor""},{""description"":""Instructor: Teach the fundamentals of exercise and fitness principles to beginner exercisers and adults with chronic diseases."",""title"":""Fundamental Fitness Instructor""},{""description"":""January 2011 to Current"",""title"":""Personal Trainer""}]","[{""Gpa"": ""1 2011"", ""institute"": ""North Park University"", ""title"": ""M.A : Physical Education""}, {""Gpa"": ""1 2003"", ""institute"": ""North Park University"", ""title"": ""B.A : Psychology and Sports Medicine Fitness Management""}]","[""Instructor"",""quality"",""safety""]",16 years,fitness,38,"Responsibilities and Duties:

Develop and implement personalized fitness programs for clients.
Assess clients' fitness levels and goals.
Provide instruction and guidance on exercise techniques and form.
Motivate and encourage clients to achieve their fitness goals.
Maintain accurate records of clients' progress.
Stay up-to-date with the latest fitness trends and research.
Qualifications:

Education: Bachelor's or Master's degree in Exercise Science, Kinesiology, or a related field.
Skills:
Knowledge of anatomy, physiology, and exercise science.
Ability to design safe and effective fitness programs.
Excellent communication and interpersonal skills.
Strong motivational and coaching skills.
Experience:
Minimum of 1 year of experience as a personal trainer or fitness instructor.
Experience working with a variety of clients and fitness levels.
Preferred Qualifications:

Total Years of Experience: 3+ years of relevant experience.
Certifications: Certified Personal Trainer (CPT) or other relevant certifications."
